Title,Company,Position,region,url
"백엔드 개발자(Python, Django)",어터,경기 성남시,https://www.jumpit.co.kr//position/18431,경력 1~7년,
Python/Django 백엔드 개발자 (2년 이상),벨루가브루어리,서울 마포구,https://www.jumpit.co.kr//position/20974,경력 2~9년,
Python 개발자,마인즈앤컴퍼니,서울 강남구,https://www.jumpit.co.kr//position/16726,경력 3~10년,
"[패스오더] 백엔드 개발자(Spring, Python, MSA)",페이타랩,서울 강남구,https://www.jumpit.co.kr//position/3338,신입~20년,
Back-end Engineer (백엔드 엔지니어),쏘마,경기 성남시,https://www.jumpit.co.kr//position/21984,경력 2~10년,
플랫폼 개발자 모집,비트코퍼레이션,경기 성남시,https://www.jumpit.co.kr//position/18723,경력 4~7년,
자율주행 로봇 및 관제 SW 개발자,트리즈엔지니어링,경기 화성시,https://www.jumpit.co.kr//position/10634,경력 2~10년,
백엔드 서버 개발자(3년차 이상),루와콘텐츠그룹,서울 구로구,https://www.jumpit.co.kr//position/20284,경력 3~10년,
Research Scientist,메디픽셀,서울 강남구,https://www.jumpit.co.kr//position/15013,경력 3~10년,
파이썬 개발자 (3년차 이상),자이온아이티에스,서울 서초구,https://www.jumpit.co.kr//position/20472,경력 3~8년,
[디노마드] 백엔드 파트장(7년차 이상),디노마드,서울 영등포구,https://www.jumpit.co.kr//position/20488,경력 9~12년,
Sr. Backend Engineer,에이아이트릭스,서울 서초구,https://www.jumpit.co.kr//position/20480,경력 5~10년,
거래소 백엔드 개발자,콘돌,서울 강동구,https://www.jumpit.co.kr//position/18813,경력 2~10년,
웹 플랫폼 개발자 모집,티쓰리큐,서울 구로구,https://www.jumpit.co.kr//position/14257,경력 2~5년,
[신입/경력]소프트웨어 엔지니어,컨트롤웍스,서울 강남구,https://www.jumpit.co.kr//position/19293,신입~7년,
백엔드 개발자,에디트콜렉티브,서울 강남구,https://www.jumpit.co.kr//position/17036,경력 3~10년,
백엔드 개발자 경력(3년 이상),디윅스,서울 강남구,https://www.jumpit.co.kr//position/22457,경력 3~7년,
플랫폼개발팀_대리급,샌즈랩,경기 과천시,https://www.jumpit.co.kr//position/18514,경력 3~6년,
백엔드 개발자,에이미파이,부산 남구,https://www.jumpit.co.kr//position/7156,경력 5~10년,
[에너지 IT기업 해줌] 백엔드 개발자 채용,해줌,서울 송파구,https://www.jumpit.co.kr//position/1772,경력 5~20년,
데브옵스 엔지니어(DevOps Engineer)(7년 이상),와탭랩스,서울 서초구,https://www.jumpit.co.kr//position/10117,경력 7~12년,
백엔드 엔지니어,로민,서울 서초구,https://www.jumpit.co.kr//position/22792,경력 5~15년,
[캐시워크] 데이터분석 담당 (석사/박사),넛지헬스케어,서울 강남구,https://www.jumpit.co.kr//position/16350,신입~10년,
[위시켓] 백엔드 개발,위시켓,서울 강남구,https://www.jumpit.co.kr//position/22592,신입~3년,
"백엔드 개발자 Backend Developer (API 개발, 3년이상)",스윗코리아,서울 강남구,https://www.jumpit.co.kr//position/15116,경력 3~15년,
글로벌플랫폼 개발자,엠로,서울 영등포구,https://www.jumpit.co.kr//position/22472,경력 6~20년,
데이터 분석가,에스투더블유,경기 성남시,https://www.jumpit.co.kr//position/21347,신입~10년,
DevOps Engineer(팀 리드),원프레딕트,서울 강남구,https://www.jumpit.co.kr//position/22717,경력 7~10년,
[웨이브릿지] Python 개발자,웨이브릿지,서울 중구,https://www.jumpit.co.kr//position/21978,경력 2~8년,
Python 개발자 모집,애드크림,서울 강남구,https://www.jumpit.co.kr//position/22567,경력 2~20년,
"웹개발자(Python, DJango)",리걸테크,서울 성동구,https://www.jumpit.co.kr//position/17227,경력 3~5년,
이커머스 솔루션 Python Backend 개발자,샐러드랩,서울 강남구,https://www.jumpit.co.kr//position/22519,신입~7년,
"[(Java, Python) Back-End] 채용 모집",미니레코드,서울 송파구,https://www.jumpit.co.kr//position/22783,경력 3~10년,
서버 엔지니어 (Python),페이히어,서울 강남구,https://www.jumpit.co.kr//position/14045,경력 3~15년,
"Data Engineer (Python, SQL)",이랜드이노플,서울 금천구,https://www.jumpit.co.kr//position/20068,경력 3~7년,
오픈업 데이터 엔지니어 (Python),핀다,서울 강남구,https://www.jumpit.co.kr//position/22641,경력 3~10년,
[에이젠글로벌] Python Backend Engineer,에이젠글로벌,서울 영등포구,https://www.jumpit.co.kr//position/5908,경력 3~5년,
Solution/SW 개발자 채용 - Java/Python(경력),위존,서울 강남구,https://www.jumpit.co.kr//position/22193,경력 3~10년,
Web application 백엔드 개발자,블루닷,서울 강남구,https://www.jumpit.co.kr//position/22572,경력 4~10년,
Software Engineer - Backend,업스테이지,경기 용인시,https://www.jumpit.co.kr//position/20693,경력 3~15년,
개발 리드,피어테크,서울 강남구,https://www.jumpit.co.kr//position/7987,경력 3~8년,
"Node.js 백엔드 개발자, IoT플랫폼 개발자",씨케이스택,경기 성남시,https://www.jumpit.co.kr//position/1622,신입~10년,
[베스텔라랩] 자율주행 연구원(경기/대구)(전문연구요원가능),베스텔라랩,"대구 동구, 경기 안양시",https://www.jumpit.co.kr//position/22380,경력 2~15년,
[클로봇] 미들웨어 개발자,클로봇,경기 성남시,https://www.jumpit.co.kr//position/22680,경력 1~6년,
하드웨어 개발자,토페스,경기 남양주시,https://www.jumpit.co.kr//position/5256,경력 5~7년,
[미소] Back-end Developer (5년차 이상),미소,서울 종로구,https://www.jumpit.co.kr//position/18979,경력 3~10년,
[전문연구요원 가능] NPU Compiler Engineer,모빌린트,서울 강남구,https://www.jumpit.co.kr//position/10026,신입~20년,
데브옵스(DevOps) 엔지니어(1년 이상),씨드앤,서울 성동구,https://www.jumpit.co.kr//position/21622,경력 1~7년,
Software Engineer - SaaS Platform,업스테이지,경기 용인시,https://www.jumpit.co.kr//position/20695,경력 3~20년,
데이터 엔지니어 (3년 이상),웅진,서울 중구,https://www.jumpit.co.kr//position/22009,경력 3~16년,
웹풀스택 개발자,이스트게임즈,서울 서초구,https://www.jumpit.co.kr//position/2035,신입~20년,
Robot Control Engineer(전문연구요원 가능),플라잎,경기 성남시,https://www.jumpit.co.kr//position/22038,경력 3~5년,
[울산] 백엔드(Backend) 개발자,인터엑스,울산 중구,https://www.jumpit.co.kr//position/17144,경력 2~10년,
주니어 데브옵스 엔지니어(DevOps Engineer),와탭랩스,서울 서초구,https://www.jumpit.co.kr//position/17203,신입~3년,
[서울] SW 설계 및 개발,인터엑스,서울 금천구,https://www.jumpit.co.kr//position/21813,경력 3~10년,
"[울산] 데이터분석(이미지 및 영상 데이터 분석가, Data Scientist)",인터엑스,울산 중구,https://www.jumpit.co.kr//position/14413,경력 2~5년,
"[서울] 데이터분석(이미지 및 영상 데이터 분석가, Data Scientist)",인터엑스,서울 금천구,https://www.jumpit.co.kr//position/15872,경력 2~5년,
백엔드 개발자,클래스유,서울 중구,https://www.jumpit.co.kr//position/17508,경력 3~6년,
[베스텔라랩] 영상분석 개발자(경기/대구)(병특가능),베스텔라랩,"대구 동구, 경기 안양시",https://www.jumpit.co.kr//position/22379,경력 2~10년,
[Moloco] Senior Data Scientist - Growth Analytics,몰로코,서울 강남구,https://www.jumpit.co.kr//position/20913,경력 5~20년,
[신입/경력] 자율주행 SW 엔지니어,컨트롤웍스,서울 강남구,https://www.jumpit.co.kr//position/20652,신입~5년,
이커머스 플랫폼 기술지원 엔지니어,다우기술,경기 성남시,https://www.jumpit.co.kr//position/22754,경력 7~15년,
연구원/백엔드 개발자 (석사/경력 2년 이상),테이텀,서울 강남구,https://www.jumpit.co.kr//position/22553,경력 2~4년,
백엔드 개발자,키즈노트,경기 성남시,https://www.jumpit.co.kr//position/17948,경력 3~10년,
데이터 사이언티스트,바르카,서울 강남구,https://www.jumpit.co.kr//position/22829,신입,
백엔드 개발자,마크클라우드,서울 강남구,https://www.jumpit.co.kr//position/22799,경력 3~10년,
백엔드 소프트웨어 엔지니어,배러머신,서울 강남구,https://www.jumpit.co.kr//position/22627,경력 3~5년,
서버 및 백엔드 개발자 채용,피처링,서울 강남구,https://www.jumpit.co.kr//position/1706,경력 5~10년,
시스템 개발/유지보수 경력자,다래파크텍,서울 송파구,https://www.jumpit.co.kr//position/22449,경력 3~15년,
STT/LLM 모델 연구 및 개발자 채용,넥서스커뮤니티,서울 영등포구,https://www.jumpit.co.kr//position/22046,경력 7~20년,
백엔드 개발자 - Gracy,알로카도스,서울 강남구,https://www.jumpit.co.kr//position/22084,신입~15년,
보안 솔루션 구축 및 개발 유지보수,위드네트웍스,서울 강서구,https://www.jumpit.co.kr//position/22060,경력 5~10년,
웹 Back-end 개발자 (서울센터),엠아이티,서울 금천구,https://www.jumpit.co.kr//position/21069,경력 3~40년,
웹 Back-end 개발자 (울산센터),엠아이티,울산 남구,https://www.jumpit.co.kr//position/21044,경력 3~40년,
[MOFIN] 2023 하반기 채용 - AI 개발자,모핀,서울 금천구,https://www.jumpit.co.kr//position/21312,경력 5~7년,
AI Engineer,라온메디,"서울 서대문구, 경기 성남시",https://www.jumpit.co.kr//position/19444,경력 1~10년,
[MiNER] AI Engineer,마이너,서울 강남구,https://www.jumpit.co.kr//position/8776,경력 1~10년,
ML Engineer,데이터메이커,대전 유성구,https://www.jumpit.co.kr//position/6834,신입~15년,
보안 SW 개발자 신입 채용,쿤텍,경기 성남시,https://www.jumpit.co.kr//position/15626,신입,
데이터 분석가,플래티어,서울 송파구,https://www.jumpit.co.kr//position/22715,경력 2~7년,
소프트웨어 개발 경력직 채용,에프엠,충북 청주시,https://www.jumpit.co.kr//position/21882,경력 3~10년,
[워트 개발팀] 데이터 엔지니어 모집 (국내 최대 데이터),워트인텔리전스,서울 서초구,https://www.jumpit.co.kr//position/7326,경력 2~10년,
Reinforcement Learning Engineer(전문연구요원 가능),플라잎,경기 성남시,https://www.jumpit.co.kr//position/22026,경력 3~5년,
백엔드 개발자 추가 채용 [강남구],모멘티,서울 강남구,https://www.jumpit.co.kr//position/22900,신입~10년,
[병역특례_보충역/전직] 백엔드 개발,피어테크,서울 강남구,https://www.jumpit.co.kr//position/13586,경력 1~5년,
[전문연구요원 가능] Runtime 소프트웨어 엔지니어 채용,에너자이,서울 강남구,https://www.jumpit.co.kr//position/20246,신입,
윈도우 어플리케이션 개발 및 유지보수(공장자동화 시스템 개발),에스쓰리알,인천 남동구,https://www.jumpit.co.kr//position/21748,경력 5~20년,
지능형 영상분석 SW 연구개발,포소드,서울 영등포구,https://www.jumpit.co.kr//position/20995,신입~20년,
[연구개발 SW EV팀] 전기차 충전기 HMI SW 개발 엔지니어,크로커스,서울 강남구,https://www.jumpit.co.kr//position/16080,경력 3~10년,
